country,pop,gdp,unemployment,primary,secondary,tertiary,mortality_infant_rate,life_expectancy,physician,basic_drinking_water,co2,forest_land,broadband,mobile,power,birth_rate,age_15_64,senior,Social support,Happiness
Chad,14110971,10950392220,,91.58312988,22.41506004,3.251300097,76.1,53.137,0.0493,44.39909697,0.06874084,3.883418043,0.08034172,38.73436811,,43.73,49.71862681,2.444707045,0.751252234,0
Chile,17969356,2.43919E+11,6.51,100.6848373,101.7809296,85.26672363,6.7,79.646,2.147,99.50649272,4.561654853,23.66553154,15.13376135,129.1440655,,13.369,68.83656301,10.5963971,0.827141881,2
China,1371220000,1.10616E+13,,96.31860352,,46.04042816,9.2,75.928,1.7732,91.76264123,7.169112177,22.31309418,19.69267651,91.835388,,12.07,72.61433377,9.331830172,0.793733716,1
Colombia,47520667,2.93482E+11,8.3,115.2318878,94.7192688,53.28213882,13.4,76.531,1.9742,96.33586812,1.705152834,54.19978369,11.62812593,120.636922,,15.515,67.77563749,7.694694184,0.889900029,2
"Congo, Rep.",4856093,11885478502,,,,,38.5,63.097,,71.14958177,0.70838841,64.46559297,,107.4114077,,34.511,55.27628681,2.568915971,0.642136157,0
"Congo, Dem. Rep.",76244532,37917704900,,107.9770813,46.16579056,,73.8,59.254,,42.71817997,0.037904358,58.07640767,0.001311569,49.51538827,,42.808,50.63821747,3.017721504,0.767235577,0
Costa Rica,4847805,56441917653,9,111.2979507,122.7865829,53.05263138,7.7,79.565,1.3794,99.37868682,1.555343088,57.83450842,11.52389824,155.4435575,,14.762,69.16721468,8.683148081,0.878272951,2
Croatia,4203604,50163192883,16.18,100.5792313,98.65386963,66.4910202,4.2,77.27560976,3.1728,,3.968023629,33.96359781,23.29894535,104.3182481,,8.9,66.21314502,19.24588353,0.768363416,1
Cyprus,1160987,19842404305,14.91,99.30011749,99.77831268,60.10123062,2.2,80.35,2.6236,99.78851757,5.839858672,18.69155844,30.72497937,130.9823176,,11.011,70.27145054,12.83298234,0.769556105,1
Czech Republic,10546059,1.88033E+11,5.05,99.51667786,105.0893021,64.48162842,2.5,78.57804878,3.9516,99.88009269,9.575140818,34.5601606,27.79469536,117.4805076,,10.5,66.89083524,17.99497745,0.911362588,2
Denmark,5683483,3.02673E+11,6.28,101.4564438,130.2518616,82.12949371,3.5,80.70243902,3.9257,99.99999785,5.911867775,15.617,42.27616351,124.4441651,,10.2,64.10939592,19.0474441,0.9597013,2
Dominican Republic,10281675,71164825257,7.61,111.4053574,79.97901917,51.74710846,26,73.241,,96.0993385,2.280756783,43.54481474,6.673102061,85.56234973,,20.32,64.66184515,6.509724092,0.893197775,1
Ecuador,16212022,99290381000,3.62,107.6838379,104.0310593,44.89223099,13,76.143,2.0648,93.0637795,2.511716305,51.61531648,9.175858406,79.84070461,,20.432,64.33873755,6.602452995,0.855889201,1
"Egypt, Arab Rep.",92442549,3.29367E+11,13.05,,,35.02812958,19.9,71.302,0.8217,99.10671754,2.444220788,0.048641318,4.139230391,101.7022519,,28.182,61.58430923,5.102212296,0.729744256,0
El Salvador,6325121,23438240000,4,102.6575699,75.33540344,27.97005081,13.2,72.412,,95.56213774,1.106698196,29.26544402,5.580934065,147.5723164,,18.734,63.87187034,7.756385487,0.790755391,1
Estonia,1315407,22881558192,6.19,97.14640808,111.0414276,72.1676178,2.5,77.5902439,3.4152,99.75130757,11.68459648,55.69381182,29.671374,144.7205063,,10.6,65.04749777,18.82204018,0.917929649,1
Ethiopia,100835453,64589334979,,100.971489,34.93946838,9.584710121,43.1,65.048,,42.0700672,0.127732852,15.43780939,0.474039598,41.96106195,,33.635,54.37154756,3.453409216,0.625596821,0
Finland,5479531,2.3444E+11,9.38,100.560791,150.0198669,87.67987061,2,81.4804878,3.3309,99.99999666,7.814537412,73.73564542,31.56100156,134.9395252,,10.1,63.36096879,20.24437697,0.947800577,2
France,66548272,2.43821E+12,10.35,101.9896393,103.3960419,62.78593063,3.5,82.32195122,3.2239,100,4.666086597,30.74748382,41.68450907,103.4564614,,12,62.76647242,18.88111529,0.895719409,2
Gabon,1947690,14383107714,,,,,35.8,64.913,,83.85848655,2.813589432,91.55120891,0.568982885,144.8670371,,32.927,60.04053015,3.626611271,0.755861998,0
Georgia,3725276,14953950557,16.51,102.7534714,99.35391235,46.48112869,9.4,72.973,5.0055,95.75472951,2.469615674,40.61591596,15.79560373,137.9343335,,14.078,66.68471588,14.34892499,0.517371595,0
Germany,81686611,3.35624E+12,4.62,101.66745,98.82263947,67.74687195,3.3,80.64146341,4.1342,100.0000024,9.087290939,32.73232815,37.54542249,117.8176431,,9,65.56447055,21.21859072,0.925923228,2
Ghana,27849203,49406568433,6.81,108.3378906,67.90666962,15.69071007,38.8,62.772,,80.15796123,0.543283052,34.63320735,0.262599956,125.7069529,,30.714,58.80449011,3.003791311,0.687448561,0
Greece,10820883,1.95605E+11,24.9,99.52629852,102.2004013,,3.9,81.03658537,5.2527,100.0000046,6.285069342,30.27,32.26186355,117.8887779,,8.5,64.61915148,20.82100424,0.834824681,1
Guatemala,15567419,62186186576,2.51,101.5126877,54.1973381,21.78329086,23.7,73.25,,92.13403385,1.049628073,33.46211273,2.829404762,111.4995795,,25.627,59.26100031,4.507320106,0.822837472,2
Guinea,11432096,8794202444,,,,9.360919952,68.7,59.598,0.0855,63.61538954,0.222181479,26.00113951,0.008747308,94.15602819,,37.583,52.08652173,2.879727658,0.578859627,0
Haiti,10695540,14833154472,,,,,53.2,62.485,0.0852,64.56748594,0.31040976,13.16582003,0.012603382,68.25273558,,25.581,60.98774611,4.637614438,0.56431967,0
Honduras,9112904,20833948800,6.15,92.7776413,50.7145195,20.39551926,16.5,74.495,,93.25441071,1.083079554,57.76950576,2.165925813,88.31847018,,22.433,61.94650538,4.331259061,0.772375524,0
Hungary,9843028,1.2521E+11,6.81,102.325119,103.0306168,48.96213913,4.3,75.56829268,3.1178,99.97052896,4.407180392,22.58185404,27.80543475,101.2544484,,9.4,68.08257746,17.46880191,0.858733833,1
Iceland,330815,17517210519,3.98,98.62542725,119.0788803,75.76605988,1.8,82.46829268,3.7826,100.0000023,6.227045327,0.480399002,37.68013251,116.2534861,,12.5,65.97293508,13.71414383,0.980283201,2
India,1310152392,2.10359E+12,,108.4852295,73.8656311,26.76898956,34.9,68.607,,88.13813263,1.641198393,23.82222461,1.293189247,76.40759943,,18.625,65.94416405,5.614635659,0.61013329,0
Indonesia,258383257,8.60854E+11,4.51,105.9602432,86.12274933,33.25072098,23.3,70.768,0.2738,88.52735296,1.899658692,52.45610161,1.541508557,131.1804585,910,19.165,67.16559219,5.38343514,0.809478104,1
"Iran, Islamic Rep.",78492208,3.84951E+11,11.17000008,108.9007034,85.86942291,72.96105194,13.8,75.796,1.1526,96.80698708,7.672481325,6.564490778,8.419512687,94.55563842,,19.066,70.31185322,5.807691884,0.572406888,0
Iraq,35572269,1.66774E+11,,,,,24.6,69.929,,94.2475933,4.559450509,1.900361184,,94.34036257,,31.109,57.58574075,3.103628977,0.684434831,0
Ireland,4701957,2.91463E+11,9.91,101.184639,116.9898682,77.23214722,3.2,81.45365854,3.1498,97.37212799,7.866937107,10.95471041,28.14590241,105.3646002,,13.9,65.33622788,12.79107132,0.95294255,2
Israel,8380100,3.00078E+11,5.25,105.6239624,103.6597519,65.4868927,3.2,82.05121951,3.4618,100.0000015,7.892507249,7.624768946,27.23573007,132.4812089,,21.3,60.91262883,11.22628467,0.864130199,2
Italy,60730582,1.8359E+12,11.9,100.3867493,102.2562714,60.93946075,3,82.54390244,3.8479,99.91703407,5.56325971,31.60766982,24.59646983,144.756385,,8,64.33598201,21.94864567,0.908986509,1
Japan,127141000,4.44493E+12,3.4,,,,2,83.79390244,,98.92280548,9.292832367,68.43347051,30.37273009,125.4518632,,8,60.99128482,26.01933226,0.703991652,0
Jordan,9266573,38587017887,13.08,,,36.63100052,15.1,74.078,2.8078,99.00678491,2.73671831,1.09822032,3.34239997,148.9004082,,24.274,60.26763934,3.755627079,0.922657192,1
Kazakhstan,17542806,1.84388E+11,4.93,111.6400833,110.3012695,46.37350845,10.5,71.97,,95.02533441,11.77918743,1.22549031,13.09468418,149.7227182,,22.71,66.54297947,6.758814697,0.830443859,1
Kenya,47878339,70120413329,,103.6615677,,9.229559898,35.3,64.798,,58.19692798,0.356946384,6.189004463,0.28218817,78.77455056,,30.688,56.45571517,2.101040019,0.931349277,1
Kosovo,1788196,6295820482,32.93,,,,,71.49512195,,,,,,,,16.9,,,0.77692306,0
Kuwait,3835588,1.14567E+11,2.2,102.5897369,97.82772064,55.14833069,7.5,75.13,2.6463,100,22.9534559,0.350729517,1.433938082,199.832125,,16.086,76.67673639,2.118891196,0.805270791,1
Kyrgyz Republic,5956900,6678178340,7.56,105.4100723,91.06977081,46.66786957,19.9,70.65121951,,88.44176125,1.7240511,6.526642336,3.549533564,127.1905538,,27.4,64.16486593,4.335219909,0.823017776,2
Latvia,1977527,27252128627,9.87,99.39331818,112.3566513,74.29988098,4.2,74.4804878,3.1656,98.52511728,3.701592949,54.58619025,25.20446279,129.6507839,,11.1,65.38709519,19.51860013,0.856584549,1
Lebanon,6532681,50065946086,,,,,7.1,78.768,2.103,91.22432251,4.140719561,13.71749756,,71.29772813,,17.737,66.3349089,6.32731324,0.879372418,1
Liberia,4472229,3227075700,,95.33271027,37.9034996,,66.1,62.269,0.0376,72.56979194,0.281738703,80.65552326,0.156521467,81.65948531,,34.297,54.73222531,3.176334849,0.741707742,1
Libya,6418315,27842131480,,,,,11.4,72.121,1.8943,97.28161516,8.388494488,0.123327688,0.950405208,151.8635343,,20.465,66.89339803,4.238682583,0.637665987,0
Lithuania,2904910,41418872976,9.12,102.0892563,107.6729279,69.74053955,4,74.32195122,4.2993,96.60413858,3.810789319,34.90822027,28.42196816,142.7088762,,10.8,66.71974979,18.6855533,0.867987692,1
Luxembourg,569604,60047430684,6.67,98.97225189,102.3193588,19.77630997,2.4,82.29268293,2.9222,99.92517066,16.02867957,36.50205761,34.46018552,142.3577966,,10.7,69.62792528,13.99422311,0.92852354,1
Madagascar,24234080,11323020829,1.79,147.3141937,38.51202011,4.806190014,40.7,65.539,,48.89177354,0.136997154,21.47798212,0.097771371,44.12695456,,33.392,55.52256805,2.834053421,0.933604598,2
Malawi,16745305,6373212641,,146.3968201,40.77254105,0.818660021,37.3,61.953,,66.15495914,0.071661878,26.00445482,0.034965029,39.21521754,,35.839,52.27595464,2.636028742,0.766368151,1
Malaysia,30270965,3.01355E+11,3.1,103.8186722,84.9344635,45.59270859,6.9,75.461,1.5358,97.05220256,7.682279042,59.2427941,10.12125085,145.6973848,,17.024,68.93482936,5.975574876,0.646716535,0
Mali,17438772,13104764334,7.73,75.68318176,41.72013855,5.503170013,67,57.509,,74.39951222,0.195541292,10.89666363,0.020064479,130.1634495,,43.226,49.52097561,2.530962892,0.494381636,0
Malta,445053,11091434484,5.38,103.549202,94.90859222,47.12258148,6.1,81.89756098,2.8598,100,3.70742361,1.09375,37.64308895,120.8972712,,9.7,66.98096453,18.79121411,0.817616284,2
Mauritania,4046304,6166857629,,104.5110321,31.41934967,5.612140179,55,63.936,0.171,66.9733094,0.729060397,0.32991171,0.238192858,90.06949804,,34.991,56.37637932,3.116204158,0.830189168,0
Mexico,121858251,1.17187E+12,4.31,106.6061096,100.8327408,31.8190403,13.9,74.904,2.3246,98.02544354,3.87819451,34.12171609,12.11053419,88.37175565,,18.573,65.63931515,6.724716186,0.918764889,2
Moldova,2834530,7745231660,4.7,105.689743,105.0630798,52.1283493,13.4,71.478,2.4836,88.5760319,2.829393233,11.75182482,13.12779129,91.21617904,,10.609,74.15911268,10.04895964,0.874945939,0
Mongolia,2998433,11619892396,4.86,100.3623734,,68.04701233,17.3,69.111,3.2194,80.81301209,5.769680363,9.104691498,6.938510338,102.3251098,,25.849,67.27377145,3.86434408,0.760614276,2
Montenegro,622159,4052913386,17.54999924,95.40309143,92.6951828,,3.1,76.452,2.3764,97.39129537,3.793242563,61.48698885,17.92693586,160.7592877,,11.837,67.71862778,13.7829449,0.8399055,1
Morocco,34663608,1.0118E+11,9.46,109.5239716,,28.40354919,21.7,75.726,,83.75113288,1.821795354,12.73737396,3.31048391,124.279337,,20.31,65.88659869,6.376659691,0.905524373,1
Mozambique,27042001,15950969019,3.43,108.6291428,33.56938934,6.659150124,61.5,57.206,0.0408,51.17617521,0.208564448,48.24639487,0.157421777,74.45799316,,38.607,51.67990521,2.899940618,0.73963052,1
Myanmar,52680724,63045306514,0.77,,,,40.7,65.81,,73.5874705,0.360853051,45.92460342,0.062491546,77.81539875,,18.041,67.01409544,5.168514572,0.605917633,1
Nepal,27015033,24360795410,3.1,144.1776733,67.84368896,14.96646023,29.7,69.515,,87.80846759,0.239126119,41.59072201,1.12050584,101.854612,,20.844,61.10603019,5.540556293,0.665858209,0
Netherlands,16939923,7.65265E+11,6.87,102.6976013,133.5458527,80.5699234,3.4,81.5097561,3.4917,99.99999856,9.333572532,10.83546184,41.49775609,122.8506375,,10.1,65.32420021,17.9201888,0.752064288,0
New Zealand,4609400,1.78064E+11,5.41,97.94277954,114.7460938,80.56337738,4.5,81.45682927,3.2961,99.99999735,6.983555343,37.3955034,31.44197505,121.3557518,,13.23,65.38199323,14.64716249,0.74761188,0
Nicaragua,6223234,12756706583,4.7,,,,16.6,73.649,0.9312,81.35312854,0.846826586,32.47074954,1.868930011,116.7261909,,21.859,63.97330008,4.750290845,0.879010439,2
Niger,20001663,9683867894,,71.59590912,20.09321976,3.299669981,51.9,60.631,0.0472,45.48245806,0.09849181,0.901397332,0.135928698,44.79127561,,47.502,47.25925539,2.57546085,0.98734349,2
Nigeria,181137454,4.86803E+11,4.31,,46.7820015,,79.5,53.112,,68.77975546,0.597060396,24.64228071,0.008660826,83.26830849,,39.359,53.13394776,2.735548091,0.826908529,1
Norway,5188607,3.85802E+11,4.3,99.90493011,114.6460419,77.9589386,2.2,82.30487805,2.6474,100.0000012,7.447085509,33.24564399,39.43316674,109.905197,,11.3,65.73465009,16.3030334,0.713019609,0
Pakistan,199426953,2.70556E+11,3.57,85.08992004,39.60364914,9.225899696,62.1,66.577,0.9262,89.45498234,0.820300353,5.101442507,0.899175801,63.13069982,,29.124,59.75335662,4.309978364,0.811647654,1
Panama,3968490,54091713776,3,96.07713318,75.83184052,47.26562881,14.6,77.776,,92.90436561,2.696239628,57.62155963,7.966965748,144.6881141,,19.863,64.60106837,7.557288206,0.79138273,1
Paraguay,6688746,36211372703,4.56,,,,18.9,73.662,,96.83621453,0.952345926,44.0446514,3.216372695,110.8127891,,21.198,63.68411956,5.880997724,0.946833968,2
Peru,30470739,1.89805E+11,3.27,100.2368469,97.59812927,,12.2,75.792,,90.28200304,1.766284697,57.18322656,6.56189969,112.3563679,,18.544,64.59269737,7.325602987,0.561720133,0
Philippines,102113206,3.06446E+11,3.07,112.2509308,87.85105896,,23.5,70.644,,92.01770102,1.113176292,23.52399638,2.839985094,115.3994392,,22.273,63.1159012,4.602141983,0.766101241,0
Poland,37986412,4.77812E+11,7.5,,107.7431183,66.94615173,4.2,77.45121951,2.3252,99.23206988,7.609299873,30.76521114,19.10272627,143.3904315,,9.7,69.42422084,15.73148386,0.88261503,2
Portugal,10358076,1.99314E+11,12.44,106.9626312,118.7691803,61.75632858,3,81.12439024,4.7487,99.90468984,4.812669843,36.15499489,30.30557125,112.9851121,,8.3,65.15130516,20.7619418,0.914199054,1
Qatar,2565708,1.6174E+11,0.17,102.5765228,,14.70129013,6.7,79.758,,99.69150138,32.47056953,0,9.267376282,145.7868972,,10.033,85.56762066,0.998515031,0.798418343,1
Romania,19815616,1.77729E+11,6.81,89.17204285,92.92756653,46.72668839,7.6,74.91219512,,100,3.678916669,29.99374131,21.39068791,116.0341126,,10.2,67.50843092,16.9654269,0.853588581,1
Russian Federation,144096870,1.36348E+12,5.57,99.07290649,102.1796188,79.93813324,7,71.18341463,3.7494,96.52715543,10.80890931,49.76106301,18.54085073,156.7665611,,12.8,69.56930603,13.55387611,0.893090427,1
Rwanda,11369066,8539048448,,139.6243591,37.85200882,7.61135006,30.9,67.45,0.1129,57.12177402,0.081800915,10.94446696,0.185811136,77.04779924,,32.604,56.71962995,2.688909235,0.866213858,1
Saudi Arabia,31717676,6.5427E+11,5.59,110.3930206,116.4622726,61.05635071,7.2,74.651,,99.54802638,17.69171234,0.454484135,19.97485187,166.4563349,,19.41,71.15644098,3.020713976,,2
Senegal,14578450,17774766636,6.76,84.93398285,50.93555069,10.75214005,36.4,66.747,0.2074,78.60209362,0.636556012,42.94478783,0.690134671,102.6135684,,36.318,53.4647935,3.06146898,0.786967337,1
Serbia,7095383,39655958843,17.66,101.3429184,96.66960907,58.28768921,5.5,75.28780488,2.4603,93.3864573,6.36470223,31.09455751,18.65687672,129.3835881,,9.3,66.87910488,16.95668372,0.924363256,1
Sierra Leone,7171909,4218723875,,116.0991287,39.05757904,,94.2,52.941,,57.84746516,0.131066917,36.48559158,,78.87713099,,35.055,55.09827642,2.987793774,0.678143561,0
Singapore,5535002,3.08004E+11,3.79,,,,2.2,82.74390244,,100,8.220412567,23.23187588,26.57653082,147.2259695,,9.7,78.32063578,9.047250504,0.819749713,2
Slovak Republic,5423801,88601289843,11.48,98.49299622,90.98053741,50.70005035,5.1,76.56341463,3.4438,99.78718913,5.669455793,39.96817936,23.43456881,122.8114558,,10.3,70.69512517,14.04706849,0.70153451,0
Slovenia,2063531,43090173395,8.96,99.9498291,110.3240891,80.26098633,2,80.77560976,2.8148,99.5,6.382264187,61.95823776,27.47326549,113.6504025,,10,67.31675711,18.01328602,0.81625104,1
Somalia,13797204,4048860871,,,,,82.8,55.92,,48.71115368,0.047110994,10.14402079,0.594323443,42.2984343,,42.303,50.03330023,2.79783559,0.610593736,1
South Africa,55386369,3.4671E+11,25.15,105.5703888,109.4440765,22.26092911,28.5,62.649,0.7814,91.87634387,7.671201555,14.20512081,2.54457383,158.8829468,,21.719,65.67943877,5.029432604,0.86643666,2
"Korea, Rep.",51014947,1.46577E+12,3.55,98.78453827,100.0077972,94.33984375,3,82.02439024,2.2494,99.47274641,11.88886857,65.03155626,39.40023682,115.9612246,,8.6,73.35891973,12.859361,0.94345367,2
South Sudan,10715657,11997800760,,72.98990631,11.00998974,,62.4,56.855,,41.24750946,0.183843137,11.32513372,0.001399821,27.05386827,,36.116,54.10255721,3.412034987,0.901163757,1
Spain,46444832,1.19512E+12,22.06,106.3639908,124.9606628,85.61177826,2.7,82.83170732,3.2166,99.92672046,5.517944386,37.12753247,29.01724261,109.4186042,,9,66.44684001,18.64683493,0.599281073,1
Sri Lanka,20970000,80604080689,4.52,101.6614685,,19.75836945,7.5,76.316,0.8624,90.11102857,0.970910825,34.39516585,2.993668413,114.308452,,16.609,65.8354277,9.391909624,0.898096263,0
Sweden,9799186,5.05104E+11,7.43,122.9374466,140.4367676,62.28247833,2.3,82.20487805,4.2856,99.78123103,4.000332272,68.69460607,35.80397237,129.4305347,,11.7,63.0971792,19.60851822,0.768350601,1
Switzerland,8282396,7.0215E+11,4.8,104.1841965,101.4737091,57.70735168,3.8,82.89756098,4.1898,100,4.712404478,31.68106715,44.60242685,135.5130156,,10.5,67.20934339,17.99733029,0.584781349,0
Tajikistan,8454019,8271454301,,97.60878754,,26.58861923,32.9,70.137,,76.23949551,0.563045813,3.039123856,0.070972086,100.4136726,,32.115,61.21563591,2.944892068,0.95647186,2
Tanzania,51482638,47378599025,,84.67946625,27.14003944,4.010159969,41,63.111,,52.96379459,0.227066841,54.28990743,0.205894675,77.04656442,,37.866,52.77995591,2.537879133,0.862500072,0
Thailand,68714519,4.01296E+11,0.6,100.6508636,120.6511688,,9.3,76.091,0.4651,99.25917058,3.82859407,39.26676975,9.065043045,149.8111512,,10.836,71.42375065,10.60203135,0.929459989,2
Togo,7323162,4180866177,2.2,128.0440063,,11.5625,50.8,59.927,0.0493,63.63712635,0.248526524,22.50542379,0.902233708,66.2993479,,34.51,55.06132737,2.802547753,0.93833375,2
Tunisia,11179951,45780069047,15.16,114.5549393,88.22575378,35.19113922,14.8,75.922,1.3108,94.8454551,2.653857785,4.473995881,5.133985853,130.5540392,,18.707,68.54499068,7.665008132,0.463912874,0
Turkey,78529413,8.64317E+11,10.24,103.027298,102.837738,,11.1,76.532,1.7988,96.25615912,4.47717596,28.10480361,12.10322874,93.77284502,,16.718,66.53134624,7.868864771,0.885388851,2
Turkmenistan,5565283,35799714286,,,,,36.2,67.704,,97.65894431,12.95172231,8.782159045,0.053905576,140.909175,,26.005,65.48120519,4.074668566,0.843932509,1
Uganda,38225447,32387183845,,102.6483994,,5.224750042,39.2,61.373,0.0954,47.84155836,0.127140436,12.68781169,0.211178662,52.89740582,,40.68,50.12964268,1.882834456,0.79026258,0
Ukraine,45154036,91030959455,9.14,,,,8.1,71.1895122,,93.65690669,4.227086146,16.67040688,11.64370424,142.0030379,,10.7,69.06664959,15.66941269,0.866324544,2
United Arab Emirates,9262896,3.58135E+11,,111.5427628,,,6.7,77.285,2.2111,99.97133247,20.94809226,4.467755562,13.32678751,193.7034838,,10.772,84.90274104,0.933368599,0.478593409,0
United Kingdom,65116219,2.95657E+12,5.3,101.9252701,124.5240021,56.45848846,3.8,80.95609756,2.7465,100.0000015,6.148544958,13.04096226,37.44769864,120.3319425,,11.9,64.46994818,17.97421008,0.60947001,1
United States,320738994,1.82383E+13,5.28,100.2999115,97.65254974,88.88941193,5.8,78.6902439,2.5781,99.44715776,15.53534211,33.89972254,31.85382022,119.1439209,,12.4,66.1333887,14.64288471,0.851224601,1
Uruguay,3412013,53274304222,7.49,111.0404816,112.1294785,59.6962204,7.6,77.369,,99.13139756,1.931411164,10.97017484,26.40476622,151.390984,,14.134,64.4317175,14.48305089,0.960158467,1
Uzbekistan,31298900,86196265192,5.2,99.93193054,91.84593964,8.224089622,20.3,70.928,,97.52857826,3.24388397,8.055997512,5.780186247,70.42874879,,23.5,67.58650956,4.058635563,0.746633112,0
"Venezuela, RB",30081827,,,100.9366684,91.02732086,,16.4,72.584,,94.57127501,5.780234026,52.92557111,8.608894758,96.71458807,,19.002,65.25471573,6.364885593,0.909439743,0
Vietnam,92677082,1.93241E+11,1.85,109.8869934,,29.07345963,17.2,75.11,0.7963,93.32806058,2.257300246,45.35059825,8.26268947,129.8315152,,17.259,70.3118126,6.658358535,0.824136674,2
"Yemen, Rep.",26497881,42445102387,,,,,43.4,66.085,,55.77886863,0.536269296,1.039831809,1.490684786,56.69113113,,32.197,56.51223764,2.79591329,0.935985744,2
Zambia,15879370,21251216799,,101.4604797,,,46.7,61.737,,61.33874628,0.319282188,61.54925409,0.147298119,72.78457238,,37.95,51.7587641,2.056720041,0.903571069,2
Zimbabwe,13814642,19963120600,,103.833992,,10.00654984,42.9,59.534,0.1815,64.95492911,0.89759836,45.6893628,1.187053232,92.34710538,,33.981,54.60345696,2.844195092,0.891493499,2
