country,pop,gdp,unemployment,primary,secondary,tertiary,mortality_infant_rate,life_expectancy,physician,basic_drinking_water,co2,forest_land,broadband,mobile,power,birth_rate,age_15_64,senior,hdi
El Salvador,6295124,22593470000,4.15,106.2758102,76.89572906,27.86738968,13.7,72.175,,94.43129093,1.046841968,29.48262548,5.066060611,146.0390003,937.0744722,18.881,63.49359378,7.608439415,0
Equatorial Guinea,1122273,21765453087,,,,,70.3,57.001,,63.92647495,7.20858472,89.07586453,0.345814803,46.02607021,,35.326,59.68464114,2.587507362,0
Eritrea,,,,79.85054779,58.9507103,3.850049973,34.9,64.201,,51.08356381,0.205348482,10.63584158,0.006039652,12.60475399,96.63457996,32.936,,,0
Estonia,1314545,26598657881,7.35,98.00723267,108.4098969,73.30776215,2.6,77.03414634,3.3564,99.75021782,13.55602128,55.30278353,28.18624043,144.1604617,6732.367473,10.3,65.55041226,18.54434895,3
Eswatini,1095022,4422968340,,120.7231216,73.84237671,,52.1,53.569,,65.81478667,0.876694715,28.505,0.465745343,83.72457464,,28.021,56.81965336,3.920936532,0
Ethiopia,98094264,55612228234,,99.25276184,,8.105319977,45.1,64.547,,40.51947671,0.125695423,15.50310992,0.480440931,31.08234717,69.1987454,34.059,53.83490768,3.429154599,0
Fiji,866447,4856963230,6.17,,,,20.3,67.03,,94.26504135,1.511921676,60.20492611,1.43423821,101.1221613,,22.108,65.4312467,5.00927344,1
Finland,5461512,2.74497E+11,8.66,100.6207199,146.4275665,88.88166046,2.1,81.1804878,3.3922,100.0000034,8.451871936,73.63059002,32.19863878,139.205784,15249.98938,10.5,63.91531419,19.65889401,3
France,66312067,2.85217E+12,10.29,101.2803497,103.425827,61.51047897,3.5,82.7195122,3.2115,100,4.592376829,30.59517091,40.45422009,101.9183391,6939.943525,12.4,63.13889012,18.43585687,3
Gabon,1883801,18203968002,,,,,36.9,64.318,,83.49452443,2.919628984,91.59732216,0.573309268,155.6816541,1167.851594,33.132,59.83575751,3.717061259,1
"Gambia, The",2024037,1229460602,,86.74098969,,,40.8,60.667,,78.85957511,0.2569123,27.37865613,0.135520903,112.8282417,,40.029,52.68235541,2.670794381,0
Georgia,3719414,17627003455,17.44,104.2728119,97.45314789,42.28091812,9.7,72.707,4.7754,95.60630998,2.277240447,40.61591596,14.88921176,133.8376646,2693.97276,14.165,67.0450679,14.26697967,2
Germany,80982500,3.88392E+12,4.98,100.5386429,99.71071625,65.50390625,3.3,81.0902439,4.0846,100,9.10678233,32.72284322,36.30777257,122.1971002,7035.482975,8.8,65.68373814,21.06416253,3
Ghana,27224480,54782847753,,104.5874481,64.06381989,15.4023304,40.2,62.416,,79.03862925,0.527833773,34.68813395,0.257746036,111.5201422,351.3014757,31.125,58.59489365,2.982856638,0
Greece,10892413,2.35145E+11,26.49,97.87486267,102.2894592,122.4020004,3.8,81.38536585,5.2167,99.99999772,6.385178381,30.27,29.49197754,113.4854734,5062.606422,8.5,64.84708249,20.47727898,3
Grenada,108900,911497407.4,24.5,118.5854416,112.1142273,,14,72.503,,95.62865044,2.295684114,52.05882353,17.27332831,107.5747002,,17.209,67.1631375,9.627922352,1
Guatemala,15306316,57852399964,2.72,102.5807419,52.61470032,18.18087959,24.6,72.935,,91.77142247,0.911388475,33.71743188,2.723906121,106.20838,601.1897311,25.992,58.69667447,4.435273081,0
Guinea,11150970,8778473615,,92.76374054,39.33396912,11.55930996,69.8,59.016,,63.49465264,0.200879385,26.14764773,0.008071038,77.87206544,,38,51.81036971,2.901466436,0
Guinea-Bissau,1692433,1054915645,,,,,61.2,56.556,,58.67168835,0.165442295,72.21386913,0.08242552,65.4852736,,37.346,54.53816006,2.661960238,0
Guyana,763371,4127659492,,,,,28.1,69.049,,94.73885367,2.698556796,93.84328169,5.924310304,74.2624905,,20.793,64.68639472,5.501323063,0
Haiti,10549007,15139264670,,,,,54.3,62.069,,64.10223713,0.290074696,13.27851959,0,64.17012252,39.05580876,26.002,60.64869221,4.588743834,0
Honduras,8955579,19618567250,7.08,91.94348907,49.48023987,19.92110062,17.1,74.278,,92.74751203,1.056324778,57.9690589,1.762608802,86.26001037,619.837087,22.792,61.29030709,4.234126868,0
"Hong Kong SAR, China",7229500,2.91459E+11,3.3,109.3130112,101.3974762,69.29174805,,83.9804878,,99.91701535,,,31.97449917,237.7048273,6083.269936,8.6,74.28499146,14.66660686,3
Hungary,9866468,1.41079E+11,7.73,101.8569183,104.1899109,52.01586914,4.5,75.76341463,3.3443,99.97025177,4.117988322,22.55023011,26.31860651,119.5971623,3965.958233,9.5,68.41882874,17.10766486,2
Iceland,327386,17867662178,4.9,98.18360901,118.6156769,81.43798065,1.8,82.86097561,3.6306,100.0000023,6.261721637,0.473436409,36.41180302,112.6152638,53832.47909,13.4,66.26170898,13.31643305,3
India,1295600768,2.03913E+12,,107.8644104,74.1415329,25.43213081,36.9,68.286,0.7247,87.65476481,1.649327519,23.73262388,1.215652255,72.86262075,804.5163493,18.984,65.5959799,5.478595609,0
Indonesia,255128076,8.90815E+11,4.05,106.0734024,82.68238068,30.89575958,24.2,70.481,,87.72586319,1.920799967,52.96740396,1.332663991,127.6154409,811.9098582,19.537,66.95356767,5.278582119,1
"Iran, Islamic Rep.",77465769,4.32687E+11,10.68000031,107.5530319,85.27626038,67.31977081,14.3,75.502,1.5044,96.66106245,7.88309479,6.564490778,7.932819876,88.93108659,3022.121939,18.93,70.60730565,5.642361781,1
Iraq,34411949,2.28416E+11,10.59,,,,25.4,69.7,1.0364,93.35601372,4.906435262,1.900361184,,95.89691674,1328.230493,31.791,57.06878695,3.101747994,0
Ireland,4657740,2.58625E+11,11.86,101.5422363,116.7390976,73.81323242,3.3,81.34878049,3.0292,97.36060147,7.632456943,10.8551604,27.20554227,106.176478,5672.064134,14.4,65.88274859,12.4074207,3
Israel,8215700,3.10945E+11,5.89,105.1809311,103.0233536,66.94252014,3.2,82.15365854,3.4669,99.99999922,7.876383023,7.52310536,27.13193543,120.9541936,6600.89828,21.5,61.19835304,11.02675723,3
Italy,60789140,2.15913E+12,12.68,101.1514206,102.2810593,61.70275116,3,83.0902439,3.9048,99.91703407,5.387310957,31.42473652,23.80827259,148.8415405,5002.40668,8.3,64.52449295,21.63533887,3
Jamaica,2875137,13899228824,13.74,,82.19750977,,13.9,74.042,0.3798,90.27309449,2.573790397,52.96934441,5.271188628,104.5337286,1050.732539,16.814,66.55417355,8.450408832,1
Japan,127276000,4.89699E+12,3.6,,,,2.1,83.58780488,2.3413,98.88377874,9.584053553,68.44554184,29.48375616,123.1631952,7819.714636,8,61.5688117,25.34970977,3
Jordan,8918822,36847643521,11.9,79.49862671,69.13018036,,15.5,73.969,2.2038,99.01953349,2.869212997,1.09822032,3.944273844,124.370646,1864.932387,25.214,59.82320771,3.710857525,1
Kazakhstan,17288285,2.21416E+11,5.06,112.5344086,106.5911789,48.80432129,11.6,71.44,3.98,94.82920398,11.87104447,1.208727229,12.41430847,165.2675044,5600.208465,23.1,67.19991169,6.756042367,2
Kenya,46700063,68285768554,,105.7534103,,,36.5,64.135,0.1959,57.49730086,0.321841108,6.222012159,0.218014733,72.01839698,164.3252601,31.522,56.01387836,2.053847688,0
Kiribati,109387,179703165.4,,113.915863,,,45.6,66.995,,72.98550955,0.548511249,1.456790123,0.457075993,27.42455961,,29.23,61.40815972,3.543253101,0
"Korea, Rep.",50746659,1.48432E+12,3.08,98.30577087,99.86733246,94.85205078,3.1,81.72195122,2.207,99.38101636,11.54755823,65.1442061,37.93662915,113.2043576,10496.51367,8.6,73.41364858,12.40276742,3
Kuwait,3690939,1.62631E+11,2.9,103.7813034,93.89048767,51.02970123,7.7,75.019,2.6522,100,22.64464409,0.350729517,1.300481368,205.9095499,15590.61258,16.807,76.34074888,2.060206327,2
Kyrgyz Republic,5835500,7468096567,8.05,105.8174515,90.85202789,45.87522125,20.9,70.40243902,2.213,87.82975303,1.663953389,6.503566215,2.920781339,129.4106012,1941.221832,27.7,64.55971154,4.309617947,1
Lao PDR,6639763,13279248479,,118.0751801,58.91762161,18.3731308,43.8,66.144,0.4949,75.58182611,0.665686411,72.80112652,0.242764945,69.55957418,,25.091,62.16482955,3.790952559,0
Latvia,1993782,31345148671,10.85,99.85282135,113.7069321,70.89794159,4.6,74.12439024,3.1724,98.47351256,3.651352054,54.51522369,24.98492247,117.9486241,3507.404521,10.9,65.92012048,19.27510082,2
Lebanon,6261046,48133414840,,,,,7.4,78.732,2.0735,90.86789445,3.983359969,13.65923754,18.0822719,70.07257895,2588.864544,17.617,66.65223883,6.257902037,1
Lesotho,2043448,2441053176,,116.5858231,60.21678162,10.96457958,71.6,49.891,,70.23970395,1.130442272,1.137022398,0.073503324,104.6658462,,28.068,61.40664417,4.793229081,0
Liberia,4359508,3225652000,2.08,97.42249298,38.57373047,,67.4,61.723,,71.98135433,0.279848093,80.96968439,0.137630273,73.98218973,,34.789,54.41027034,3.197632943,0
Libya,6362039,41142722414,,,,,11.8,71.981,2.0583,96.41164561,9.383784035,0.123327688,0.987105231,133.5591101,1811.054601,20.94,66.94865182,4.219749115,1
Liechtenstein,37219,6657170923,,102.6609879,115.5578308,37.4887085,,82.07317073,,100,4.298879605,41.87375,41.93643715,109.2120463,,10,,,3
Lithuania,2932367,48533659592,10.7,101.5755692,108.1847763,70.40061188,4,74.51707317,4.2507,96.13359828,3.703492776,34.85395052,26.9851526,143.6175773,3821.14517,10.4,67.05283566,18.40126374,2
Luxembourg,556319,68713294386,5.85,97.5230484,102.7083893,,2.4,82.22926829,2.8891,99.94460424,17.3461629,36.50205761,33.68703518,144.7027678,13914.67845,10.9,69.40196496,13.96100383,3
Madagascar,23589897,12522957228,,145.2478638,38.35387039,4.818540096,41.7,65.133,0.1812,47.99556388,0.129292637,21.50070127,0.10527816,41.17816498,,33.673,55.16114362,2.814256685,0
Malawi,16289550,6047813437,,147.3957825,40.21173859,0.838400006,39.7,61.042,,65.36159188,0.067527955,26.44993636,0.052555159,34.57746413,,36.629,51.93082044,2.653123916,0
Malaysia,29866606,3.38062E+11,2.88,104.3613663,85.35153961,39.50857162,6.8,75.268,,97.04368392,7.757158614,58.92833967,10.24890578,150.430901,4651.951414,17.071,68.65432939,5.748608236,2
Maldives,435018,3697351597,3.85,,,13.08364964,9.3,77.36,1.7701,98.51123156,3.126307417,2.733333333,4.561222027,153.0563314,,17.2,74.20525729,4.026757698,1
Mali,16934213,14364937997,6.38,77.07611084,44.0181694,5.969960213,68.7,57.036,,72.75061136,0.184242397,10.89666363,,138.8051373,,43.843,49.45806165,2.569626202,0
Malta,434558,11626281387,5.72,102.8234634,94.43334198,44.33583832,6.1,82.04634146,2.6592,100.0000013,5.407793666,1.09375,35.22967385,126.9718292,4924.544019,9.6,67.51650988,18.18910871,3
Marshall Islands,57183,182142800,,,,,30,,,88.27286229,2.623157232,52.22222222,2.399482327,27.10785428,,,,,3
Mauritania,3930894,6592537782,,100.4021225,30.71409988,,56.4,63.654,0.1582,65.11945621,0.641075542,0.335189677,0.203515941,95.48281104,,35.381,56.19622091,3.12048449,0
Mauritius,1260934,12803445934,7.47,102.4473419,99.90384674,39.12630844,12.9,74.19439024,1.9318,99.86658686,3.132598534,18.87586207,14.4748301,131.3869194,2182.509156,10.6,70.69387723,9.414127275,2
Mexico,120355137,1.31535E+12,4.81,108.0057526,97.34338379,31.0941391,14.4,74.908,2.207,97.5936259,3.808063465,34.18472183,10.82838697,87.19889276,2157.323788,18.892,65.41881124,6.57479339,1
"Micronesia, Fed. Sts.",107444,319271200,8.86,101.4321213,,,28.6,67.152,,88.10876746,1.303004356,91.77428571,2.877724624,,,23.365,63.38253634,3.358896562,0
Moldova,2856950,9510219299,3.73,107.4397507,104.3808212,52.15034866,13.7,71.267,2.4746,88.18665603,2.698682161,11.67944039,12.50046951,91.7690032,1725.616479,10.759,74.20424721,9.962593966,1
Mongolia,2940111,12226514722,4.8,101.3348236,,63.86674118,18.6,68.863,3.1632,79.90325263,6.16303262,9.127065578,6.708835186,102.9636666,2006.386834,26.053,67.78716972,3.837954252,1
Montenegro,621810,4587928884,18.04999924,,,,3.6,76.297,2.1861,97.14541049,3.570222415,61.48698885,16.57445603,161.701761,4612.34139,11.893,67.85883554,13.51004157,2
Morocco,34192358,1.10081E+11,9.7,109.9576111,,25.33263016,22.7,75.477,0.9135,82.37439241,1.78870378,12.7328389,2.9054768,129.0186985,904.4418639,20.684,65.86661165,6.259504134,0
Mozambique,26286192,17716084108,,107.5980225,33.37900162,6.216149807,63.2,56.062,,48.82531943,0.170051257,48.50889901,0.140701253,70.31310851,478.920644,38.993,51.48658853,2.934814709,0
Myanmar,52280816,63264891867,,101.8312073,51.78527069,,42,65.378,,71.63562183,0.325932174,46.36821216,,55.52579278,215.2988584,18.264,66.64032304,5.05272832,0
Namibia,2273426,12435416060,18.52,,,19.70396042,34.3,61.425,,82.13657733,1.759459072,8.581372299,1.812773074,117.4872868,1652.571933,30.192,59.25382122,3.820890349,0
Nepal,26905982,22731602970,,143.2478943,66.87902832,15.99374962,30.9,69.168,0.5951,87.33249847,0.264996832,41.59072201,0.931398963,85.56217507,146.4730037,21.18,60.59828414,5.438832218,0
Netherlands,16865008,8.90981E+11,7.42,,,,3.5,81.70731707,3.3468,100.0000029,8.887632902,10.88037993,40.55640475,115.8027134,6712.774758,10.4,65.61633215,17.441545,3
New Zealand,4516500,2.01313E+11,5.429999828,97.62129974,115.3846436,77.98130035,4.7,81.40487805,3.2374,100.0000027,7.038636112,37.39665034,30.87009666,111.6577964,9012.731097,12.67,65.59680983,14.29940097,3
Nicaragua,6142734,11880434071,4.52,,,,17.3,73.429,0.8946,81.29213775,0.774899255,32.93712814,1.813672127,115.0605488,568.3137183,22.231,63.72071315,4.653728122,0
Niger,19240182,10862944204,0.52,69.57597351,18.20435905,2.569859982,53.5,60.07,0.0272,45.12092359,0.102909629,0.911202337,0.155684622,42.80833354,51.19494192,47.988,47.20035609,2.564872188,0
Nigeria,176404931,5.46676E+11,4.56,90.10355377,45.6240387,,80.4,52.672,,67.02050605,0.658711745,24.82158613,0.008922653,78.77348827,144.5254385,39.828,53.05082396,2.750048363,0
North Macedonia,2077780,11362272838,28.03,91.40603638,80.56838989,38.32701111,11,75.299,,97.41968264,3.744381022,39.15963521,17.04198,107.0587046,3496.520325,11.215,70.75631385,12.25941211,1
Norway,5137232,4.9841E+11,3.48,99.82749176,112.7667084,77.54350281,2.3,82.1,2.6832,100.0000036,7.451483601,33.23181086,38.44860193,111.5843116,22999.9346,11.5,65.85288778,16.04005239,3
Oman,4027255,80686929102,,109.6953888,,34.55519104,9.6,76.634,2.1481,89.77447362,16.00842261,0.009693053,4.396612089,153.8060369,6445.58142,21.005,75.55206269,2.315544564,2
Pakistan,195305012,2.44361E+11,1.83,84.30747223,37.32049179,9.659850121,63.8,66.36,0.8972,89.31195913,0.786820566,5.143246679,1.028485633,69.51282454,447.5051567,29.318,59.44363036,4.306962157,0
Palau,17625,241669800,1.36,112.5686798,116.4851074,,18.4,,1.4205,99.61412405,12.4822695,88.92173913,6.297515035,108.4420742,,13.7,,,2
Panama,3901311,49921464365,2.72,99.13536835,75.07704926,44.53678894,15,77.583,,92.52287406,2.891335759,57.77558014,7.94770685,177.0195888,2064.177914,20.155,64.51449435,7.375873872,1
Papua New Guinea,7946733,23210682538,,,,,40.8,63.181,,40.72335317,0.738668331,79.61690986,0.166106059,42.26770005,,28.344,59.6128848,3.251085667,2
Paraguay,6599524,40377987209,5.03,,,,19.5,73.473,,95.55548021,0.853091829,45.08732444,2.805125701,110.693965,1552.384687,21.413,63.41575137,5.72378986,0
Peru,30090372,2.00789E+11,3.21,101.1356735,97.02095032,,12.7,75.529,,89.69814385,1.755046431,57.3168625,5.872502219,105.9476991,1345.879007,18.827,64.55617894,7.059836009,1
Philippines,100513137,2.97483E+11,3.6,113.0535202,86.96585846,35.62688828,23.7,70.481,,91.59766387,1.038769688,23.40699601,2.885194853,110.7577007,696.346787,22.935,62.85606712,4.494951516,1
Poland,38011735,5.42477E+11,8.99,100.1411438,106.9047012,68.44716644,4.3,77.60243902,2.302,99.03951541,7.517152269,30.70577093,18.99093512,149.3926992,3971.799761,9.9,69.98487494,15.19891962,1
Portugal,10401062,2.29596E+11,13.89,108.1025925,116.0811005,65.50357056,3,81.12195122,4.5567,99.90317998,4.415895223,36.02399853,27.43056442,114.1810144,4662.6008,7.9,65.41660964,20.32169993,2
Qatar,2459202,2.06225E+11,0.2,99.05126953,,13.58043957,7,79.646,1.7351,99.75320111,32.69353229,0,9.168517541,134.4268335,14781.62428,10.208,85.76507463,0.927944802,2
Romania,19908979,1.99959E+11,6.8,,94.41652679,47.13710022,8.3,74.9097561,,100,3.586823815,29.65824061,20.04593248,114.3944903,2584.411787,10,67.8247129,16.62995928,2
Russian Federation,143819667,2.05924E+12,5.16,97.69432068,98.81610107,78.46309662,7.6,70.74365854,4.0114,96.43539529,11.17274176,49.76356825,17.24714162,152.7878864,6602.657479,14.4,70.17777526,13.36241126,2
Rwanda,11083629,8241332517,1.17,140.3875275,40.09128189,7.386079788,32.5,66.884,0.0909,56.32737024,0.073080757,10.9039319,0.026318093,69.89604489,,32.863,56.58152609,2.646407359,2
St. Kitts and Nevis,50776,916566666.7,,108.617981,107.1866608,85.0411377,14.3,,,98.61185413,4.52969907,42.30769231,27.60861858,128.0182771,,12.6,,,0
St. Lucia,178307,1755130815,,,87.53952026,16.4372406,18.2,75.44,2.6809,95.1280438,2.01898972,34.04918033,15.81583434,105.6394984,,12.502,70.57084848,9.076479562,1
